Plot,year,date,severity,new,blue,green,red,redge,nir,ndvi,ndre,cire,sipi,mndvi
11,2021,D3,18.65,2021-08-02,0.02513063978624084,0.0633464474556525,0.03448836425629986,0.19726308295440032,0.42747750459416334,0.8350754473644942,0.37165062785958014,-0.5539206583365271,2.659510164014369,-0.5201193156431136
11,2021,D4,22.35,2021-08-25,0.03317172642863077,0.06795603286517762,0.06613099992457423,0.163276131635819,0.3060204498288857,0.6192177159885468,0.2999994095991741,-0.3828090502134613,3.962347989184876,0.08609201069045615
11,2021,D5,47.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,2021,D0,0,2021-07-07,0.02350887750611464,0.05890453039065808,0.047592968713421904,0.13688859838038142,0.2807071748999009,0.6557863871197727,0.32765723983406225,-0.3354612323657077,3.761214384118161,0.5812196925031308
12,2021,D1,0.125,2021-07-15,0.022663772563781732,0.05830423488569326,0.03712529554521495,0.14819536828109192,0.3369566694245867,0.7581284653572069,0.3783656987023231,-0.4078888991434588,3.301684062724361,0.14232269457449198
12,2021,D2,2.95,2021-07-20,0.0228632738848346,0.06025028946799139,0.03771215100499788,0.16741884954432495,0.41057333369142063,0.8133904709591854,0.414680408368762,-0.4998867118824188,3.1356637470604736,-0.18526152539969348
12,2021,D3,7.35,2021-08-02,0.023777711025954527,0.05588091658323068,0.03341388432915405,0.17942885876940023,0.4061702183131191,0.8257591661297722,0.3845869415299783,-0.5123947463484183,2.79281155229879,-0.4141809408381047
12,2021,D4,10.4,2021-08-25,0.03227812172841976,0.06842014248858765,0.07143897859931454,0.16607767023175238,0.2665646778314989,0.5637742681770541,0.230920271098122,-0.3309504463971724,3.046115900397074,0.14434190348155587
12,2021,D5,31.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,2021,D0,0,2021-07-07,0.022187066079112104,0.05638866630121427,0.04349103161806539,0.13418877394040488,0.28197668217972005,0.678026152210604,0.3441717434596908,-0.3377331757362964,3.7735407898101503,0.5261465375377359
13,2021,D1,0.175,2021-07-15,0.020157310113344103,0.04875384450308642,0.03535302199068541,0.12015034218329504,0.27171066316707454,0.7356596132206488,0.3799353332689844,-0.3158736156881707,3.494672757733081,0.24274055617837428
13,2021,D2,1,2021-07-20,0.024181768853400523,0.06143854173384922,0.04705646998818957,0.1632921294250651,0.3503712558912005,0.727003322281321,0.3567379702559615,-0.4303368724856921,3.344065229910413,0.2412537372738888
13,2021,D3,6.025,2021-08-02,0.024494897589422145,0.05809190630626666,0.042984898508724265,0.17842452552602447,0.3147829745866668,0.729930441204577,0.27959845303088704,-0.39994536731275526,2.442456126697269,0.005691116550124757
13,2021,D4,9.5,2021-08-25,0.033982874950429585,0.07115492144037248,0.07250453362581115,0.13894411789948563,0.2177166743444352,0.5067603422951903,0.22606226976239516,-0.2568976254860912,3.6141504349850826,-0.19617713065270373
13,2021,D5,18.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,2021,D0,0,2021-07-07,0.022755581888672733,0.05684062487085276,0.04544145035136672,0.13391346787567474,0.27537678361878365,0.6666546626702494,0.3337415758576336,-0.3282153526874953,3.6955830064947888,0.5088588229648063
14,2021,D1,0.55,2021-07-15,0.0216545153239786,0.05001697880243497,0.03766276211190937,0.12150137194468633,0.26704880558044747,0.7155948012129774,0.3650532610568227,-0.3105773522447793,3.50742439714698,0.2966248438640705
14,2021,D2,4.8,2021-07-20,0.02357276427833484,0.057389553911434056,0.04634504906707617,0.15836903026620142,0.3343388934033026,0.7189932454576542,0.34829890910717426,-0.4078966724442524,3.2326149510576783,0.22402512037307623
14,2021,D3,17.75,2021-08-02,0.027317990187664797,0.05988043119884024,0.04708922401424751,0.1774981649242768,0.33505448884845934,0.7195766848837292,0.305542927607987,-0.4254005882144837,2.732988555508431,-0.02458783042885487
14,2021,D4,21.8,2021-08-25,0.02865668564015737,0.06429306158354073,0.05747477359805925,0.15747160215568187,0.25906842153459225,0.6237296717663913,0.2431700884196132,-0.31687751586018,2.5747338345695323,-0.11394084027271846
14,2021,D5,73.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,2021,D0,0,2021-07-07,0.02272741724113483,0.05738842736054432,0.04389309987965738,0.1379282697130077,0.28730497478991834,0.6838893452832591,0.3418451099761281,-0.34542070694659044,3.6354208159097583,0.39704536804066526
15,2021,D1,0.675,2021-07-15,0.02265801603722833,0.05245606460851105,0.03529764040493402,0.13281225687657724,0.3006981129297772,0.7540973306456501,0.3802748491946335,-0.35557851878911084,3.298706706504337,-0.022457002483578088
15,2021,D2,1.025,2021-07-20,0.022516008059423363,0.05564379792659727,0.04242904164443159,0.1626544658273321,0.3609010878122764,0.7562440383072999,0.3706427623942597,-0.442129838194415,3.195098758647827,-0.06513353647374616
15,2021,D3,4.55,2021-08-02,0.026190827326392805,0.057447558114914817,0.03728375633745145,0.1842602651618807,0.3627074014451442,0.7868434312381059,0.3266339750475075,-0.4621115046172208,2.529966724302501,-0.4527557321180001
15,2021,D4,8.5,2021-08-25,0.03021290069704104,0.06066010843883974,0.0666622705407,0.13848701012257808,0.2170172822335268,0.5271642887097959,0.2225675226940656,-0.2569894958161358,3.2723094709953986,-0.15619194321949093
15,2021,D5,18.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,2021,D0,0,2021-07-07,0.02140498047380659,0.05666796204390855,0.04005206692188088,0.13706567755697815,0.29376091256427256,0.7116083921244606,0.3544428839765433,-0.3519775095150572,3.5363114840211187,0.4036515029002968
16,2021,D1,0.45,2021-07-15,0.0205152535015294,0.05213257492438357,0.032687525184108474,0.13826416312801984,0.32562374836635405,0.7833498326531477,0.39576190130258654,-0.3880111925129912,3.222807693524385,0.05394925521316329
16,2021,D2,4.375,2021-07-20,0.02082984855258637,0.054937885831383926,0.03747857895945505,0.15819950142409792,0.3747444050018639,0.7851167395322864,0.3976250529174562,-0.4558926434887742,3.276964167375784,0.00906077094658744
16,2021,D3,10.35,2021-08-02,0.025819653715444008,0.06053501702192642,0.03775902213405782,0.19141006253802817,0.3971750034264072,0.8019641276111891,0.35183804541293745,-0.5139527239100078,2.6027783865459284,-0.7375545901331511
16,2021,D4,16.7,2021-08-25,0.029675866582132924,0.06158339067911856,0.06095243996236472,0.15008689337395806,0.24656463160375905,0.5848672680744744,0.24165361999237892,-0.30074066709289826,3.014109999318069,0.1313856963489787
16,2021,D5,50.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,2021,D0,0,2021-07-07,0.02086186395200453,0.05736771745310225,0.038071911163985415,0.13984995732441996,0.29911223111958185,0.7290118349663064,0.3560800696632044,-0.3597412161647105,3.381569524616187,0.1922804964539523
